Madagascar,MDG,1823.81732941305,63.632,3.25023246,30437261,0,22.64,587041
Malawi,MWI,1829.50768925379,67.353,6.50023508,20568728,1,22.66,118484
Malaysia,MYS,36416.5401853099,76.657,3.90591931,34695493,0,26.38,330803
Maldives,MDV,24735.0754169658,81.041,9.65276241,524106,0,28.11,300
Mali,MLI,2657.71298407985,60.439,3.67284775,23072640,1,29.21,1240192
Malta,MLT,63419.8236994542,83.5073170731707,9.52376747,531511,0,20.06,316
Marshall Islands,MHL,7532.17477307826,66.945,11.73604298,40077,0,28.01,181
Mauritania,MRT,6946.19393340541,68.484,4.48389912,4875637,0,28.82,1030700
Mauritius,MUS,29511.2274099553,73.4121951219512,5.82381678,1262523,0,23.33,2040
Mexico,MEX,24789.6755981683,75.069,5.72145176,128613117,0,21.31,1964375
Micronesia  Fed. Sts.,FSM,4313.62760101578,67.198,10.34470272,112630,0,27.28,702
Moldova,MDA,17596.8834167667,71.198,6.96505404,2528654,1,10.89,33846
Monaco,MCO,..,86.372,3.39779735,38931,0,13.05,2
Mongolia,MNG,18004.8512058355,72.1224390243902,8.85170174,3433748,1,1.07,1564110
Montenegro,MNE,30966.673744191,77.5878048780488,10.92241859,617213,0,9.93,13812
Morocco,MAR,9842.888671875,75.313,5.68049145,37329064,0,18.14,446550
Mozambique,MOZ,1677.68102292349,63.611,8.77717781,32656246,0,24.41,801590
Myanmar,MMR,5953.35735165887,66.889,5.20476246,53756787,0,23.82,676578
Namibia,NAM,11215.5468409261,67.385,9.29635525,2889662,0,20.45,825615
Nauru,NRU,13831.8119737926,62.109,18.17031097,11801,0,27.83,21
Nepal,NPL,5393.62090216188,70.354,6.65589333,29715436,1,..,147181
Netherlands,NLD,78305.2888358968,81.9146341463415,10.10068321,17700982,0,10.49,41850
New Caledonia,NCL,..,78.766,..,287123,0,22.69,18575
New Zealand,NZL,53440.1310147173,83.0048780487805,10.02858067,5117200,0,10.46,270467
Nicaragua,NIC,8309.3399128364,74.947,8.95364857,6730654,0,25.88,130373
Niger,NER,1890.50518592089,61.183,4.35259724,25311973,1,28.04,1267000
Nigeria,NGA,6207.42137845063,54.462,4.27090406,223150896,0,27.30,923768
North Macedonia,MKD,24390.4873543927,75.3160975609756,7.6204114,1831712,1,10.79,25713
Northern Mariana Islands,MNP,..,78.808,..,46078,0,27.60,464
Norway,NOR,100928.354559088,83.1121951219512,7.94803333,5457127,0,2.21,323802
Oman,OMN,42519.7049918962,80.031,2.9162159,4730226,0,27.64,309500
Pakistan,PAK,6036.65076923802,67.649,2.90434051,243700667,0,21.38,881912
Palau,PLW,17531.6984188274,69.269,14.28555965,17759,0,27.90,459
Panama,PAN,39803.3189532895,79.594,8.46561432,4400773,0,25.60,75417
Papua New Guinea,PNG,4632.97979376141,66.134,2.61825109,10203169,0,24.74,462840
Paraguay,PRY,17516.798469519,73.844,7.73804235,6760464,1,23.92,406752
Peru,PER,16974.2420029886,77.74,6.0930872,33475438,0,20.07,1285216
Philippines,PHL,10988.6300412045,69.833,5.15676308,113964338,0,26.27,342353
Poland,POL,46570.4702655552,78.5073170731707,6.39626455,36821749,0,8.78,312679
Portugal,PRT,47331.0982975007,82.2804878048781,10.46883011,10434332,0,15.85,92090
Puerto Rico,PRI,47717.5129705699,81.69,..,3220113,0,25.04,8870
Qatar,QAT,128918.549288257,82.368,2.18112326,2657333,0,28.02,11586
Romania,ROU,45777.0387317408,76.6073170731707,5.7490139,19048502,0,10.18,238391
Russian Federation,RUS,44120.14453125,73.2546341463415,6.91986275,144236933,0,-3.79,17098242
Rwanda,RWA,3396.15532541582,67.785,7.8792119,13651030,1,20.03,26338
Samoa,WSM,6996.84192109141,71.698,6.3012085,215261,0,27.58,2842
San Marino,SMR,..,85.706,7.40650225,33755,1,12.83,61
Sao Tome and Principe,STP,6149.98146081928,69.718,7.46419811,226305,0,..,964
Saudi Arabia,SAU,61102.915372338,78.732,4.62462378,32175224,0,25.94,2149690
Senegal,SEN,4791.44862031409,68.683,4.06358385,17651103,0,28.90,196722
Serbia,SRB,28748.4759609015,76.2209756097561,9.65742779,6664449,1,11.40,88361
Seychelles,SYC,32705.944308693,74.9585365853659,4.2375164,119878,0,27.09,452
Sierra Leone,SLE,3367.51026016213,61.786,7.94752312,8276807,0,26.54,71740
Singapore,SGP,141553.47299754,82.8951219512195,4.89702511,5637022,0,27.68,710
Sint Maarten (Dutch part),SXM,49826.1146271296,76.371,..,42139,0,..,34
Slovak Republic,SVK,43625.3641875229,78.0170731707317,7.73064041,5431752,1,8.83,49037
Slovenia,SVN,53952.2047300024,81.9780487804878,9.60507679,2112076,0,9.86,20273
Solomon Islands,SLB,2812.37576422898,70.528,4.82369328,781066,0,25.92,28896
Somalia,SOM,1556.52309067949,58.816,2.62183189,17801897,0,26.95,637657
South Africa,ZAF,15194.1991761106,66.139,8.77086639,62378410,0,18.23,1221037
South Sudan,SSD,..,57.617,6.76125622,11021177,1,27.97,619745
